created_at,source,original_text,polarity,subjectivity,lang,fav_count,retweet_count,screen_name,follower_count,friends_count,sensitivity,hashtags,mentions,location
Sun Aug 07 22:31:20 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @i_ameztoy: Extra random image (I):

Lets focus in one very specific zone of the western coast -&gt; Longjing District, Taichung #City, #Ta…",-0.125,0.190625,en,0,2,i_ameztoy,20497,2621,false,"[{'text': 'City', 'indices': [132, 137]}]","[{'screen_name': 'i_ameztoy', 'name': 'Iban Ameztoy', 'id': 3418339671, 'id_str': '3418339671', 'indices': [3, 13]}]",
Sun Aug 07 22:31:16 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @IndoPac_Info: #China's media explains the military reasons for each area of the drills in the #Taiwan Strait

Read the labels in the pi…",-0.1,0.1,en,0,201,ZIisq,65,272,false,"[{'text': 'China', 'indices': [18, 24]}, {'text': 'Taiwan', 'indices': [98, 105]}]","[{'screen_name': 'IndoPac_Info', 'name': 'Indo-Pacific News - Watching the CCP-China Threat', 'id': 844136511079559168, 'id_str': '844136511079559168', 'indices': [3, 16]}]",
Sun Aug 07 22:31:07 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","China even cut off communication, they don't anwer phonecalls from the US. But here clown @ZelenskyyUa enters the stage to ask #XiJinping to change Putin's mind.",0.0,0.0,en,0,0,Fin21Free,85,392,false,"[{'text': 'XiJinping', 'indices': [127, 137]}]","[{'screen_name': 'ZelenskyyUa', 'name': 'Володимир Зеленський', 'id': 1120633726478823425, 'id_str': '1120633726478823425', 'indices': [90, 102]}]",
Sun Aug 07 22:31:06 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Putin to #XiJinping : I told you my friend, Taiwan will be a vassal state, including nukes, much like the Ukrainian model. I warned you... But it took Pelosi to open China's eyes.",0.1,0.35,en,0,0,Fin21Free,85,392,false,"[{'text': 'XiJinping', 'indices': [9, 19]}]",[],
Sun Aug 07 22:31:04 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @ChinaUncensored: I’m sorry, I thought Taiwan was an independent country because it had its own government, currency, military, travel d…",-6.938893903907228e-18,0.55625,en,0,381,VizziniDolores,910,2608,false,[],"[{'screen_name': 'ChinaUncensored', 'name': 'China Uncensored', 'id': 833100331, 'id_str': '833100331', 'indices': [3, 19]}]",
Sun Aug 07 22:31:02 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @benedictrogers: We must not let this happen.

We must be ready.

We must defend #Taiwan

https://t.co/z4Rv925jhI",0.2,0.5,en,0,36,GraceCh15554845,207,54,false,"[{'text': 'Taiwan', 'indices': [84, 91]}]","[{'screen_name': 'benedictrogers', 'name': 'Benedict Rogers 羅傑斯', 'id': 49035671, 'id_str': '49035671', 'indices': [3, 18]}]",
Sun Aug 07 22:30:59 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @TGTM_Official: What kind of country can connive such extremely offensive remarks on the street?

#Taiwan #TsaiIngwen
#TheGreatTranslati…",0.15833333333333333,0.7999999999999999,en,0,411,Philipkuma1,12,264,false,"[{'text': 'Taiwan', 'indices': [101, 108]}, {'text': 'TsaiIngwen', 'indices': [109, 120]}]","[{'screen_name': 'TGTM_Official', 'name': 'The Great Translation Movement 大翻译运动官方推号', 'id': 1500639956737597442, 'id_str': '1500639956737597442', 'indices': [3, 17]}]",
Sun Aug 07 22:30:59 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @ChinaInfo777: #PinkFloyd singer Roger Waters rebukes and says #Taiwan is a part of #China. IF YOU DONT KNOW THAT GO AND EDUCATE YOURSEL…,0.0,0.0,en,0,5,nhohn2011,870,508,false,"[{'text': 'PinkFloyd', 'indices': [18, 28]}, {'text': 'Taiwan', 'indices': [66, 73]}, {'text': 'China', 'indices': [87, 93]}]","[{'screen_name': 'ChinaInfo777', 'name': 'China Info 🇨🇳', 'id': 1508186150711701505, 'id_str': '1508186150711701505', 'indices': [3, 16]}]",
Sun Aug 07 22:30:50 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @AmbQinGang: China's SC&amp;FM Wang Yi elaborates on China's position on the #Taiwan question: Taiwan has never been a country. There is onl…,0.0,0.0,en,0,239,ClaudioColomaRI,127,263,false,"[{'text': 'Taiwan', 'indices': [80, 87]}]","[{'screen_name': 'AmbQinGang', 'name': 'Qin Gang 秦刚', 'id': 1417236433878884352, 'id_str': '1417236433878884352', 'indices': [3, 14]}]",
Sun Aug 07 22:30:45 +0000 2022,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",RT @CGMeifangZhang: Chinese ambassador to the US has detailed why #USA House Speaker Nancy #Pelosi's visit to #Taiwan was opposed by #China…,0.2,0.375,en,0,25,jmarzola1,213,877,false,"[{'text': 'USA', 'indices': [66, 70]}, {'text': 'Pelosi', 'indices': [91, 98]}, {'text': 'Taiwan', 'indices': [110, 117]}, {'text': 'China', 'indices': [133, 139]}]","[{'screen_name': 'CGMeifangZhang', 'name': 'Zhang Meifang张美芳', 'id': 1222894323152195586, 'id_str': '1222894323152195586', 'indices': [3, 18]}]",
Sun Aug 07 22:30:41 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @CGMeifangZhang: #Latest When the PLA conducted massive drills around #Taiwan in response to the serious provocations made by the US on…,0.05555555555555556,0.8555555555555555,en,0,11,xuejianosaka,45242,1505,false,"[{'text': 'Latest', 'indices': [20, 27]}, {'text': 'Taiwan', 'indices': [73, 80]}]","[{'screen_name': 'CGMeifangZhang', 'name': 'Zhang Meifang张美芳', 'id': 1222894323152195586, 'id_str': '1222894323152195586', 'indices': [3, 18]}]",
Sun Aug 07 22:30:35 +0000 2022,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Wilson Chinonso Blog: Nigerian tribes, the list and facts https://t.co/E58nxeVz0j 

#China #ChinaTaiwan #ManUnited",0.0,0.0,en,1,0,wilson_chnns,28,265,false,"[{'text': 'China', 'indices': [84, 90]}, {'text': 'ChinaTaiwan', 'indices': [91, 103]}, {'text': 'ManUnited', 'indices': [104, 114]}]",[],
Sun Aug 07 22:30:35 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @IndoPac_Info: A good infographic of #China's missile launches on #Taiwan on August 4th.

#ChinaTaiwanCrisis https://t.co/STzRr9fhU5",0.7,0.6000000000000001,en,0,183,ZIisq,65,272,false,"[{'text': 'China', 'indices': [40, 46]}, {'text': 'Taiwan', 'indices': [69, 76]}, {'text': 'ChinaTaiwanCrisis', 'indices': [93, 111]}]","[{'screen_name': 'IndoPac_Info', 'name': 'Indo-Pacific News - Watching the CCP-China Threat', 'id': 844136511079559168, 'id_str': '844136511079559168', 'indices': [3, 16]}]",
Sun Aug 07 22:30:29 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @shen_shiwei: Roger Waters: ""They're (Chinese) not encircling #Taiwan, Taiwan is part of China, and that's been absolutely accepted by t…",0.1,0.45,en,0,7,Aurora20288302,9,178,false,"[{'text': 'Taiwan', 'indices': [65, 72]}]","[{'screen_name': 'shen_shiwei', 'name': 'Shen Shiwei 沈诗伟', 'id': 587955457, 'id_str': '587955457', 'indices': [3, 15]}]",
